function_rank,function_share,cumulative_bugfix_share
509,0.011453903103130134,0.056361751749157814
510,0.011476405859717815,0.05649131899455818
511,0.011498908616305497,0.05662088623995854
512,0.011521411372893179,0.0567504534853589
513,0.01154391412948086,0.0567504534853589
514,0.011566416886068543,0.0567504534853589
515,0.011588919642656225,0.0567504534853589
516,0.011611422399243907,0.0567504534853589
517,0.011633925155831589,0.0567504534853589
518,0.01165642791241927,0.0567504534853589
519,0.011678930669006953,0.0567504534853589
520,0.011701433425594635,0.0567504534853589
521,0.011723936182182317,0.0567504534853589
522,0.011746438938769999,0.0567504534853589
523,0.011768941695357681,0.0567504534853589
524,0.011791444451945363,0.0567504534853589
525,0.011813947208533045,0.0567504534853589
526,0.011836449965120727,0.0567504534853589
527,0.011858952721708409,0.0567504534853589
528,0.011881455478296091,0.0567504534853589
529,0.011903958234883773,0.05752785695776108
530,0.011926460991471455,0.05817569318476289
531,0.011948963748059137,0.05856439492096398
532,0.01197146650464682,0.058823529411764705
533,0.011993969261234501,0.05908266390256543
534,0.012016472017822183,0.05934179839336616
535,0.012038974774409865,0.05960093288416688
536,0.012061477530997547,0.059730500129567245
537,0.01208398028758523,0.05986006737496761
538,0.012106483044172911,0.05998963462036797
539,0.012128985800760593,0.060119201865768336
540,0.012151488557348275,0.0602487691111687
541,0.012173991313935957,0.0602487691111687
542,0.01219649407052364,0.0602487691111687
543,0.012218996827111321,0.0602487691111687
544,0.012241499583699003,0.0602487691111687
545,0.012264002340286686,0.0602487691111687
546,0.012286505096874368,0.0602487691111687
547,0.01230900785346205,0.0602487691111687
548,0.012331510610049732,0.0602487691111687
549,0.012354013366637414,0.0602487691111687
550,0.012376516123225096,0.0602487691111687
551,0.012399018879812778,0.0602487691111687
552,0.01242152163640046,0.0602487691111687
553,0.012444024392988142,0.0602487691111687
554,0.012466527149575824,0.0602487691111687
555,0.012489029906163506,0.0602487691111687
556,0.012511532662751188,0.0602487691111687
557,0.01253403541933887,0.0602487691111687
558,0.01255653817592655,0.0602487691111687
559,0.012579040932514232,0.0602487691111687
560,0.012601543689101914,0.0602487691111687
561,0.012624046445689596,0.0602487691111687
562,0.012646549202277278,0.0602487691111687
563,0.01266905195886496,0.061026172583570876
564,0.012691554715452642,0.06167400881057269
565,0.012714057472040324,0.06206271054677377
566,0.012736560228628006,0.0623218450375745
567,0.012759062985215688,0.06258097952837523
568,0.01278156574180337,0.06284011401917595
569,0.012804068498391052,0.06309924850997668
570,0.012826571254978734,0.06335838300077741
571,0.012849074011566416,0.06361751749157812
572,0.012871576768154099,0.06387665198237885
573,0.01289407952474178,0.06400621922777922
574,0.012916582281329463,0.06413578647317958
